Name,Age,Salary,Join_Date,Department,Tenure_Years,Tenure_Category
Brian Brennan,35.0,100000.0,2020-10-07,Finance,4,Junior
Stacy Bishop,50.0,60000.0,2023-08-13,Finance,1,Junior
Teresa Sanchez,30.0,50000.0,2020-06-08,HR,4,Junior
Amanda Macdonald,25.0,100000.0,2021-12-18,IT,2,Junior
Lawrence Pham,25.0,2721333.0,2023-12-11,HR,0,Junior
Christina Johnson,30.0,60000.0,2022-05-08,IT,2,Junior
Jesse Hood,50.0,100000.0,2022-05-08,Finance,2,Junior
Andrea Joseph,1000.0,50000.0,2023-04-03,HR,1,Junior
Alyssa Smith,,100000.0,2020-01-22,HR,4,Junior
Samuel Boyd,35.0,50000.0,2022-09-20,IT,2,Junior
Peter Gonzalez,35.0,60000.0,2024-04-29,IT,0,Junior
